DEPT,ECGR,ATRX,ATRT,NPHI,CAL1,HDAR,HROM,DTSM,DTCO
4722.5,55.0047,1.0698,1.2041,46.8,6.1198,6.7179,2.5622,,96.4702
4723.0,57.7421,1.1034,1.1981,50.19,6.1301,6.7161,2.5487,,96.1008
4723.5,42.9985,1.1691,1.113,45.99,6.2297,6.5763,2.339,,95.3216
4724.0,27.0982,1.3359,1.1251,44.95,6.116,6.5279,2.5902,,83.0864
4724.5,12.2166,1.6751,1.8275,35.85,6.1798,6.4882,2.6912,,79.1596
4725.0,14.0057,2.9107,4.3664,26.27,6.1819,6.4042,2.6714,,75.217
4725.5,13.4523,7.7183,8.0551,26.86,6.1393,6.4042,2.6786,,68.4461
4726.0,12.8449,8.8682,11.5212,22.53,6.142,6.3702,2.685,,70.4557
4726.5,10.8357,7.6062,35.5215,20.66,6.0987,6.3702,2.6569,,66.0371
4727.0,12.2014,10.142,31.5888,22.57,6.1362,6.4221,2.6571,,64.4997
4727.5,10.5989,15.7811,27.264,25.04,6.1766,6.4885,2.6661,,71.2397
4728.0,16.1926,17.6098,18.035,27.33,6.2176,6.3719,2.6358,,76.7262
4728.5,125.1131,6.0648,5.0445,40.25,6.1729,6.2984,2.6868,,87.0554
4729.0,133.3881,2.9193,2.6388,46.46,6.0978,6.2913,2.6858,,84.0495
4729.5,115.8544,2.3376,2.1543,43.69,6.0803,6.2877,2.6462,,85.3639
4730.0,96.764,2.0767,1.9607,45.28,6.0669,6.2823,2.6609,,88.4792
4730.5,89.1117,1.842,1.7821,43.94,6.1002,6.3235,2.6696,,87.3448
4731.0,82.0108,1.6849,1.6484,44.64,6.0688,6.3648,2.647,,85.6072
4731.5,83.0165,1.6432,1.6124,45.38,6.0679,6.3719,2.6286,,85.1915
4732.0,87.3469,1.6987,1.6578,47.66,6.0688,6.4464,2.733,,82.7702
4732.5,80.4324,1.8853,1.8051,45.64,6.0321,6.4598,2.704,,85.4254
4733.0,91.9044,2.0471,1.9315,47.13,6.048,6.4882,2.5865,,90.9978
4733.5,102.4426,1.7841,1.7047,40.7,6.0666,6.4849,2.562,,94.5167
4734.0,96.8615,1.3905,1.3745,42.11,6.101,6.5154,2.5231,,94.735
4734.5,83.1971,1.2472,1.2629,42.61,6.1744,6.443,2.769,,91.1844
4735.0,79.4649,1.337,1.3622,41.68,6.1447,6.4042,2.7274,,90.0591
4735.5,83.3766,1.329,1.3734,43.53,6.1374,6.406,2.6465,,93.8743
4736.0,79.6508,1.2956,1.3311,47.26,6.1837,6.3397,2.6569,,87.349
4736.5,71.6493,1.4512,1.4034,42.36,6.1466,6.32,2.6305,,86.9608
4737.0,63.8222,2.0955,1.4562,36.34,6.1263,6.3218,2.6277,,63.1858
4737.5,49.3007,3.0377,1.5621,28.7,6.106,6.3227,2.6236,,88.5038
4738.0,74.3648,3.0234,1.5768,42.82,6.1416,6.3253,2.6347,,96.9444
4738.5,82.686,2.0298,1.3443,42.04,6.1782,6.331,2.4759,,102.3072
4739.0,92.9351,1.2954,1.3001,42.42,6.2404,6.3235,2.5969,,107.3947
4739.5,91.9788,1.0791,1.4711,41.29,6.1368,6.3415,2.5776,,82.8937
4740.0,71.7634,0.9857,1.3235,36.46,6.1227,6.2626,2.6655,,86.3932
4740.5,70.4433,1.1468,0.8402,38.14,6.1592,6.2482,2.555,,87.2564
4741.0,49.8022,1.4002,0.6576,32.92,6.1002,6.268,2.6365,,56.1454
4741.5,42.6451,1.773,0.6964,16.02,6.106,6.2411,2.673,,52.481
4742.0,53.9471,2.5186,1.2144,21.5,6.0662,6.2874,2.609,,65.0247
4742.5,59.8439,2.5764,2.4679,30.25,6.1485,6.2841,2.5997,,82.7894
4743.0,56.1654,1.7698,2.8077,34.38,6.1838,6.2751,2.6032,,79.8827
4743.5,46.254,1.952,3.2976,31.86,6.101,6.2464,2.7598,,59.8771
4744.0,40.9772,2.6821,4.3744,21.51,6.1064,6.25,2.7197,,58.0135
4744.5,43.1197,4.505,11.811,19.71,6.1591,6.2716,2.7192,,62.3163
4745.0,39.5717,6.4112,50.8893,14.24,6.1042,6.25,2.7389,,59.3046
4745.5,41.473,9.609,91.2648,13.51,6.0662,6.2733,2.7321,,54.5364
4746.0,41.5928,25.0445,39.9215,15.79,6.1037,6.2859,2.724,,56.242
4746.5,40.179,97.4545,19.0665,18.65,6.142,6.2859,2.7174,,56.8458
4747.0,39.4896,429.2322,11.3732,14.35,6.0547,6.2895,2.7418,,56.5353
4747.5,38.6112,238.7974,9.9372,12.95,6.0627,6.2858,2.7659,,51.4416
4748.0,38.8519,142.7431,12.5002,13.03,6.0302,6.2805,2.7608,,55.2528
